Date,House_Price_Index,Stock_Price_Index,Consumer_Price_Index,Population,Unemployment_Rate,Real_GDP,Mortgage_Rate,Real_Disposable_Income
1987-01-01,63.735,14.97068,46.91647,153968000.0,6.6,2.41735,9.204,6159.5
1987-02-01,64.134,15.86818,47.08523,154123000.0,6.6,4.57724,9.0825,6192.1
1987-03-01,64.47,16.48206,47.29619,154229000.0,6.6,3.87276,9.035,6200.0
1987-04-01,64.974,16.22884,47.54933,154362000.0,6.3,4.83973,9.8325,5967.2
1987-05-01,65.549,16.14232,47.7181,154490000.0,6.3,4.51565,10.596,6209.1
1987-06-01,66.22,16.79351,47.88686,154605000.0,6.2,2.73315,10.5375,6200.8
1987-07-01,66.787,17.25948,48.01343,154727000.0,6.1,2.50173,10.278,6218.1
1987-08-01,67.27,18.23986,48.26658,154811000.0,6.0,3.06269,10.33,6244.2
1987-09-01,67.624,17.67034,48.51973,154937000.0,5.9,7.5085,10.8875,6244.3
1987-10-01,67.902,15.56062,48.6463,155054000.0,6.0,9.65063,11.26,6284.5
1987-11-01,68.092,13.58801,48.68849,155168000.0,5.8,5.72805,10.65,6308.9
1987-12-01,68.344,13.3575,48.68849,155258000.0,5.7,2.79289,10.64,6365.4
1988-01-01,68.583,13.91834,48.81506,155396000.0,5.7,-0.74984,10.3825,6378.8
1988-02-01,68.916,14.37273,48.94164,155503000.0,5.7,2.08974,9.8925,6416.0
1988-03-01,69.325,14.84251,49.15259,155607000.0,5.7,5.31818,9.93,6442.2
1988-04-01,69.79,14.70187,49.40574,155702000.0,5.4,7.36538,10.202,6464.3
1988-05-01,70.409,14.35853,49.5745,155830000.0,5.6,4.60213,10.455,6473.4
1988-06-01,71.068,15.12444,49.78546,155985000.0,5.4,2.96125,10.46,6497.4
1988-07-01,71.686,15.06437,49.99641,156130000.0,5.4,0.47343,10.432,6524.5
1988-08-01,72.185,14.78065,50.20737,156203000.0,5.6,2.16221,10.5975,6542.8
1988-09-01,72.574,15.00061,50.5449,156284000.0,5.4,4.75155,10.48,6555.5
1988-10-01,72.823,15.48469,50.71366,156395000.0,5.4,6.13218,10.3025,6590.4
1988-11-01,73.065,15.11941,50.75585,156447000.0,5.3,6.11954,10.265,6592.6
1988-12-01,73.279,15.38439,50.84024,156527000.0,5.3,5.37072,10.612,6625.1
1989-01-01,73.618,15.88492,51.09338,156752000.0,5.4,3.88311,10.73,6653.4
1989-02-01,73.969,16.3478,51.30434,156812000.0,5.2,2.33293,10.645,6673.2
1989-03-01,74.411,16.30056,51.59967,156886000.0,5.0,3.21547,11.032,6706.7
1989-04-01,74.868,16.7725,51.9372,156959000.0,5.2,3.1356,11.05,6672.3
1989-05-01,75.296,17.35978,52.23254,157044000.0,5.2,2.66746,10.7725,6641.7
1989-06-01,75.697,17.90099,52.35911,157177000.0,5.3,3.86258,10.196,6660.5
1989-07-01,76.043,18.33109,52.48569,157284000.0,5.2,2.63411,9.8825,6683.9
1989-08-01,76.274,19.10661,52.57007,157385000.0,5.2,4.22558,9.985,6701.6
1989-09-01,76.422,19.11225,52.73883,157474000.0,5.3,-0.16849,10.126,6721.7
1989-10-01,76.489,19.06244,52.99198,157568000.0,5.3,-1.21691,9.9475,6754.8
1989-11-01,76.522,18.66268,53.11855,157612000.0,5.4,1.48508,9.7675,6761.3
1989-12-01,76.498,19.07521,53.20293,157703000.0,5.4,3.87224,9.744,6761.4
1990-01-01,76.527,18.56648,53.75142,159353000.0,5.4,4.82064,9.895,6801.0
1990-02-01,76.587,18.07759,54.00457,159442000.0,5.3,6.25524,10.1975,6815.1
1990-03-01,76.79,18.44583,54.2999,159547000.0,5.2,2.95386,10.268,6816.9
1990-04-01,77.038,18.38141,54.38428,159631000.0,5.4,-0.62873,10.37,6860.6
1990-05-01,77.297,18.94923,54.51086,159724000.0,5.4,0.77584,10.4775,6852.4
1990-06-01,77.505,19.47706,54.8062,159812000.0,5.2,1.18052,10.164,6862.3
1990-07-01,77.56,19.47469,55.01715,159904000.0,5.5,0.66157,10.035,6886.1
1990-08-01,77.479,17.96866,55.52344,160041000.0,5.7,0.04046,10.1,6842.8
1990-09-01,77.229,17.15432,55.98755,160191000.0,5.9,-2.79009,10.175,6839.5
1990-10-01,76.913,16.64209,56.32507,160331000.0,5.9,-4.26267,10.1775,6783.4
1990-11-01,76.381,17.05451,56.45165,160467000.0,6.2,-5.86011,10.014,6785.1
1990-12-01,75.972,17.78271,56.45165,160564000.0,6.3,-2.86938,9.6725,6824.1
1991-01-01,75.533,17.62213,56.78918,160655000.0,6.4,-1.19597,9.6375,6804.7
1991-02-01,75.25,19.58308,56.87356,160710000.0,6.6,-1.22228,9.365,6814.0
1991-03-01,75.137,20.15921,56.95794,160794000.0,6.8,0.74864,9.5,6824.9
1991-04-01,75.318,20.56992,57.04232,160921000.0,6.7,5.20828,9.4925,6851.7
1991-05-01,75.769,20.49271,57.21109,161017000.0,6.9,4.65917,9.472,6852.9
1991-06-01,76.254,20.53056,57.37985,161141000.0,6.9,2.73464,9.615,6888.5
1991-07-01,76.518,20.62734,57.46423,161217000.0,6.8,1.61911,9.575,6875.2
1991-08-01,76.595,21.12646,57.633,161354000.0,6.9,0.74995,9.244,6891.4
1991-09-01,76.576,21.04894,57.88614,161521000.0,6.9,1.64652,9.0075,6910.5
1991-10-01,76.291,21.10341,57.97053,161663000.0,7.0,0.52321,8.855,6921.1
1991-11-01,76.031,21.11836,58.13929,161798000.0,7.0,1.88336,8.712,6932.2
1991-12-01,75.844,21.21873,58.18148,161905000.0,7.3,3.16743,8.4975,6995.7
1992-01-01,75.699,22.71159,58.26586,161987000.0,7.3,5.4103,8.432,7065.3
1992-02-01,75.654,22.59063,58.47682,162071000.0,7.4,6.23765,8.7625,7097.8
1992-03-01,75.813,22.30278,58.77216,162166000.0,7.4,5.89348,8.935,7105.5
1992-04-01,76.08,22.23713,58.85654,162262000.0,7.4,3.8411,8.8525,7126.8
1992-05-01,76.398,22.63904,58.94092,162352000.0,7.6,2.79888,8.672,7161.1
1992-06-01,76.602,22.24978,59.15188,162493000.0,7.8,3.69896,8.51,7191.7
1992-07-01,76.711,22.59568,59.27845,162625000.0,7.7,4.8003,8.128,7187.0
1992-08-01,76.731,22.78407,59.44721,162801000.0,7.6,2.87505,7.975,7212.8
1992-09-01,76.628,22.78986,59.61598,162977000.0,7.6,5.0524,7.9225,7179.5
1992-10-01,76.598,22.47702,59.82693,163122000.0,7.3,5.52701,8.088,7133.6
1992-11-01,76.579,23.05813,59.91131,163275000.0,7.4,3.50959,8.305,7144.5
1992-12-01,76.464,23.71526,59.86912,163388000.0,7.4,0.78085,8.206,7399.0
1993-01-01,76.395,23.73477,60.16446,163513000.0,7.3,-0.55633,7.9925,7237.6
1993-02-01,76.328,24.10519,60.37542,163621000.0,7.1,0.35192,7.6825,7271.8
1993-03-01,76.383,24.5713,60.58637,163694000.0,7.0,1.88839,7.495,7249.2
1993-04-01,76.661,24.23496,60.75514,163831000.0,7.1,3.22287,7.472,7286.8
1993-05-01,77.03,24.36321,60.83952,163943000.0,7.1,2.88072,7.465,7276.3
1993-06-01,77.516,24.47691,60.9239,164094000.0,7.0,1.34381,7.4175,7262.9
1993-07-01,77.885,24.54492,60.9239,164233000.0,6.9,0.59098,7.206,7281.2
1993-08-01,78.131,24.94888,61.09266,164379000.0,6.8,2.27994,7.1125,7291.8
1993-09-01,78.198,25.23904,61.21924,164543000.0,6.7,5.23267,6.915,7271.9
1993-10-01,78.172,25.5033,61.47238,164699000.0,6.8,7.00335,6.834,7236.4
1993-11-01,78.17,25.34482,61.51457,164884000.0,6.6,5.41373,7.155,7256.4
1993-12-01,78.114,25.52289,61.51457,165010000.0,6.5,4.05375,7.172,7503.7
1994-01-01,78.199,25.95653,61.68334,165121000.0,6.6,2.64808,7.06,7363.1
1994-02-01,78.205,25.94262,61.89429,165254000.0,6.6,3.28231,7.1525,7377.2
1994-03-01,78.35,25.48287,62.10525,165327000.0,6.5,6.7058,7.675,7401.7
1994-04-01,78.702,24.55667,62.18963,165476000.0,6.4,6.09297,8.316,7402.0
1994-05-01,79.209,24.7144,62.23182,165577000.0,6.1,5.37559,8.5975,7487.4
1994-06-01,79.702,24.87754,62.44278,165694000.0,6.1,2.74716,8.3975,7475.5
1994-07-01,80.064,24.68769,62.61154,165797000.0,6.1,0.49894,8.614,7481.7
1994-08-01,80.317,25.36024,62.86469,165928000.0,6.0,2.26366,8.5125,7490.5
1994-09-01,80.34,25.51085,63.03345,166129000.0,5.9,4.08694,8.64,7523.2
1994-10-01,80.304,25.27446,63.07564,166289000.0,5.8,5.61891,8.925,7594.7
1994-11-01,80.17,25.00329,63.16003,166445000.0,5.6,5.242,9.17,7594.4
1994-12-01,80.079,24.62429,63.16003,166584000.0,5.5,3.2383,9.198,7629.1
1995-01-01,80.027,25.11062,63.41317,166467000.0,5.6,0.32582,9.1475,7653.7
1995-02-01,79.993,25.93257,63.66632,166591000.0,5.4,-0.19159,8.8275,7669.1
1995-03-01,80.079,26.42236,63.87727,166690000.0,5.4,0.43726,8.462,7690.3
1995-04-01,80.37,27.17155,64.08823,166791000.0,5.8,0.83587,8.32,7633.6
1995-05-01,80.692,27.90742,64.2148,166897000.0,5.6,2.14188,7.955,7710.9
1995-06-01,81.069,28.67153,64.34138,167023000.0,5.6,3.22417,7.566,7734.0
1995-07-01,81.412,29.52861,64.34138,167150000.0,5.7,2.66241,7.6075,7751.4
1995-08-01,81.655,29.71381,64.51014,167310000.0,5.7,5.02565,7.86,7756.6
1995-09-01,81.739,30.73981,64.63671,167459000.0,5.6,3.8607,7.636,7782.0
1995-10-01,81.728,30.87537,64.84767,167628000.0,5.5,1.87176,7.475,7790.9
1995-11-01,81.632,31.44986,64.80548,167753000.0,5.6,1.8355,7.3775,7812.3
1995-12-01,81.514,32.47175,64.76329,167879000.0,5.6,2.3412,7.2,7823.0
1996-01-01,81.428,32.60315,65.14301,167929000.0,5.6,1.35459,7.03,7833.7
1996-02-01,81.4,34.30991,65.35396,168093000.0,5.5,5.09406,7.075,7894.3
1996-03-01,81.666,34.33728,65.69149,168257000.0,5.5,6.10238,7.624,7919.9
1996-04-01,82.126,34.41353,65.94464,168457000.0,5.6,7.9253,7.925,7872.3
1996-05-01,82.603,35.14032,66.07121,168604000.0,5.6,6.99994,8.07,7972.0
1996-06-01,83.049,35.48436,66.1134,168760000.0,5.3,4.45978,8.32,8020.3
1996-07-01,83.419,34.21694,66.23997,168918000.0,5.5,1.90951,8.245,7999.4
1996-08-01,83.646,35.1152,66.36655,169078000.0,5.1,2.91778,8.002,8019.8
1996-09-01,83.703,35.7465,66.5775,169248000.0,5.2,4.65905,8.23,8038.7
1996-10-01,83.63,36.99175,66.78846,169408000.0,5.2,5.11995,7.915,8038.2
1996-11-01,83.557,38.49857,66.91503,169585000.0,5.4,4.22841,7.618,8060.2
1996-12-01,83.491,38.78163,66.91503,169734000.0,5.4,1.13618,7.5975,8087.7
1997-01-01,83.531,39.9673,67.12599,170318000.0,5.3,0.53809,7.824,8110.8
1997-02-01,83.597,41.45096,67.33694,170458000.0,5.2,4.47346,7.65,8133.4
1997-03-01,83.912,41.26777,67.50571,170598000.0,5.2,6.12688,7.8975,8172.1
1997-04-01,84.322,39.71159,67.59009,170783000.0,5.1,7.93412,8.1425,8178.2
1997-05-01,84.865,42.91642,67.5479,170934000.0,4.9,6.63022,7.944,8214.1
1997-06-01,85.399,45.26382,67.63228,171055000.0,5.0,5.52885,7.69,8240.5
1997-07-01,85.842,47.62737,67.71666,171192000.0,4.9,5.0768,7.4975,8271.7
1997-08-01,86.151,47.68659,67.84323,171336000.0,4.8,4.10852,7.48,8314.6
1997-09-01,86.311,48.49962,68.012,171502000.0,4.9,3.61939,7.43,8336.4
1997-10-01,86.409,49.44086,68.18076,171659000.0,4.7,3.007,7.294,8377.6
1997-11-01,86.633,48.73145,68.13857,171867000.0,4.6,3.39921,7.205,8431.8
1997-12-01,86.849,49.97653,68.05419,172027000.0,4.7,3.6127,7.095,8480.3
1998-01-01,87.164,49.9245,68.18076,172061000.0,4.6,4.31719,6.994,8554.9
1998-02-01,87.374,52.69964,68.30734,172244000.0,4.6,4.35249,7.0425,8608.9
1998-03-01,87.878,55.5262,68.43391,172396000.0,4.7,3.53181,7.1275,8658.3
1998-04-01,88.558,57.24488,68.56048,172553000.0,4.3,3.48908,7.14,8685.6
1998-05-01,89.374,56.88943,68.68706,172750000.0,4.4,4.02785,7.144,8721.1
1998-06-01,90.195,56.42339,68.77144,172882000.0,4.5,3.23225,6.9975,8770.5
1998-07-01,90.86,58.07058,68.85582,172997000.0,4.5,4.23541,6.952,8786.0
1998-08-01,91.407,53.39362,68.9402,173192000.0,4.5,7.40732,6.9225,8814.4
1998-09-01,91.753,50.16512,69.02458,173361000.0,4.6,6.80641,6.7225,8840.5
1998-10-01,92.001,50.65313,69.19335,173537000.0,4.5,7.1366,6.71,8853.3
1998-11-01,92.199,55.87901,69.19335,173824000.0,4.4,5.51983,6.865,8889.8
1998-12-01,92.445,57.03838,69.15116,173995000.0,4.4,4.23459,6.738,8907.1
1999-01-01,92.715,58.96622,69.31992,174342000.0,4.3,3.39159,6.785,8956.4
1999-02-01,92.981,58.29973,69.4043,174517000.0,4.4,3.44443,6.8075,8987.9
1999-03-01,93.611,59.78408,69.61526,174664000.0,4.2,2.783,7.04,8996.9
1999-04-01,94.436,62.16686,70.12155,174817000.0,4.3,3.08035,6.916,8969.0
1999-05-01,95.361,62.94555,70.12155,174995000.0,4.2,3.8435,7.145,8986.1
1999-06-01,96.365,62.34271,70.12155,175152000.0,4.3,3.98804,7.55,9018.1
1999-07-01,97.193,64.2543,70.33251,175301000.0,4.3,5.43364,7.632,9036.7
1999-08-01,97.899,61.5006,70.50127,175493000.0,4.2,6.07439,7.9425,9076.4
1999-09-01,98.401,60.19794,70.8388,175646000.0,4.2,7.05618,7.8225,9066.3
1999-10-01,98.833,59.32374,70.96537,175902000.0,4.1,8.82138,7.852,9117.2
1999-11-01,99.15,62.80751,71.00756,176106000.0,4.1,5.41608,7.7375,9177.2
1999-12-01,99.545,63.19875,71.00756,176294000.0,4.0,1.17526,7.912,9248.6
2000-01-01,100.0,62.86602,71.21852,178143000.0,4.0,-1.41958,8.21,9309.1
2000-02-01,100.571,59.92387,71.64043,178266000.0,4.1,0.8504,8.325,9345.2
2000-03-01,101.466,61.62468,72.23111,178414000.0,4.0,7.89566,8.24,9370.3
2000-04-01,102.54,64.01819,72.2733,178578000.0,3.8,10.89815,8.1525,9418.3
2000-05-01,103.701,63.33833,72.35768,178785000.0,4.0,6.81501,8.515,9457.3
2000-06-01,104.855,64.33157,72.7374,179005000.0,4.0,1.95857,8.288,9483.3
2000-07-01,105.721,64.67894,72.90616,179227000.0,4.0,-2.72743,8.1475,9533.3
2000-08-01,106.521,65.96814,72.90616,179385000.0,4.1,-1.16839,8.0275,9591.5
2000-09-01,107.135,66.10834,73.28588,179587000.0,3.9,3.39312,7.912,9601.5
2000-10-01,107.728,64.02615,73.41246,179811000.0,3.9,4.08837,7.795,9627.4
2000-11-01,108.291,63.94636,73.45465,179976000.0,3.9,2.41582,7.745,9629.8
2000-12-01,108.791,63.89026,73.41246,180146000.0,3.9,-1.37006,7.382,9647.6
2001-01-01,109.214,64.42541,73.87656,180310000.0,4.2,-3.45651,7.0325,9697.4
2001-02-01,109.641,64.176,74.17189,180529000.0,4.2,-1.94468,7.05,9708.8
2001-03-01,110.393,59.7594,74.34066,180659000.0,4.3,2.89202,6.952,9733.9
2001-04-01,111.247,60.09292,74.636,180889000.0,4.4,4.54146,7.0775,9705.0
2001-05-01,112.202,63.83125,74.97353,181056000.0,4.3,3.17078,7.145,9680.9
2001-06-01,113.272,62.47472,75.1001,181278000.0,4.5,-1.51624,7.16,9679.4
2001-07-01,114.226,60.79872,74.88914,181549000.0,4.6,-3.59977,7.1275,9820.7
2001-08-01,114.987,59.8657,74.88914,181776000.0,4.9,-1.9562,6.95,9982.1
2001-09-01,115.464,54.59542,75.22667,181988000.0,5.0,0.11888,6.8175,9896.5
2001-10-01,115.68,55.06464,74.97353,182162000.0,5.3,1.37649,6.6175,9722.4
2001-11-01,115.837,56.99183,74.84695,182360000.0,5.5,2.26783,6.658,9733.4
2001-12-01,116.054,57.73238,74.55161,182492000.0,5.7,3.03938,7.065,9750.3
2002-01-01,116.436,57.62083,74.72038,182698000.0,5.7,4.03945,6.9975,9951.9
2002-02-01,116.916,56.41106,75.01572,182910000.0,5.7,3.30726,6.8925,9966.6
2002-03-01,117.929,59.49042,75.43763,183086000.0,5.7,2.60607,7.014,9973.3
2002-04-01,119.209,58.18821,75.85954,183260000.0,5.9,2.33784,6.985,10007.2
2002-05-01,120.788,57.0232,75.85954,183452000.0,5.8,2.1416,6.806,10047.9
2002-06-01,122.333,53.90806,75.90173,183632000.0,5.8,2.28852,6.65,10078.5
2002-07-01,123.687,48.25622,75.98611,183869000.0,5.8,1.57684,6.485,10053.5
2002-08-01,124.73,48.70765,76.23926,184103000.0,5.7,1.35961,6.29,10056.6
2002-09-01,125.494,46.76304,76.36583,184304000.0,5.7,0.30676,6.0925,10068.3
2002-10-01,126.136,45.54277,76.4924,184460000.0,5.7,0.06858,6.1125,10097.3
2002-11-01,126.642,47.87475,76.4924,184630000.0,5.9,1.05575,6.068,10124.3
2002-12-01,127.15,47.52485,76.32364,184737000.0,6.0,0.41549,6.0475,10148.6
2003-01-01,127.652,47.34989,76.66117,185776000.0,5.8,2.93699,5.916,10133.6
2003-02-01,128.326,44.37599,77.25184,185999000.0,5.9,2.7228,5.8425,10097.6
2003-03-01,129.308,44.24553,77.71594,186175000.0,5.9,2.40744,5.745,10121.5
2003-04-01,130.488,46.62976,77.54718,186398000.0,6.0,2.53831,5.8125,10181.4
2003-05-01,131.839,49.36493,77.42061,186580000.0,6.1,5.02454,5.484,10261.2
2003-06-01,133.225,52.29276,77.50499,186781000.0,6.3,6.82424,5.23,10291.2
2003-07-01,134.646,52.14393,77.58937,187003000.0,6.2,7.40675,5.6325,10415.5
2003-08-01,135.965,52.26897,77.88471,187214000.0,6.1,6.19333,6.264,10487.7
2003-09-01,137.076,53.80064,78.13786,187454000.0,6.1,6.24659,6.1475,10369.1
2003-10-01,137.976,55.20531,78.05347,187653000.0,6.0,4.50996,5.952,10408.4
2003-11-01,138.765,56.13243,77.84252,187863000.0,5.8,3.4548,5.9325,10470.9
2003-12-01,139.628,58.51985,77.75814,188077000.0,5.7,2.17602,5.876,10479.0
2004-01-01,140.705,61.47464,78.13786,187710000.0,5.7,1.59295,5.7125,10472.7
2004-02-01,142.029,62.40279,78.55977,187892000.0,5.6,2.4987,5.635,10491.3
2004-03-01,144.08,61.57739,79.06606,188075000.0,5.8,2.96756,5.445,10533.6
2004-04-01,146.179,61.8445,79.3192,188258000.0,5.6,3.0269,5.83,10569.6
2004-05-01,148.334,59.72372,79.78331,188421000.0,5.6,3.43442,6.27,10623.3
2004-06-01,150.518,61.33126,80.03645,188624000.0,5.6,3.54849,6.2875,10631.8
2004-07-01,152.337,60.38981,79.90988,188805000.0,5.5,4.08029,6.056,10658.1
2004-08-01,153.814,59.49894,79.95207,189023000.0,5.4,3.7555,5.8675,10693.5
2004-09-01,155.108,61.34568,80.12084,189243000.0,5.4,3.43947,5.754,10701.4
